#2604:2d80:6700::/41,budget:5000000
target:4999993,active:614,hitrate:0.0001228001719202407,duration:1160.0738050937653

#2001:57b:1242::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1129.2015843391418

#2409:875c:4600::/40,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1165.0986721515656

#2001:579:c980::/42,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1171.5477583408356

#2408:8256:3a6b::/48,budget:5000000
target:4999997,active:1,hitrate:2.00000120000072e-07,duration:1073.4503824710846

#2804:7d84:7000::/36,budget:5000000
target:4999991,active:0,hitrate:0.0,duration:1172.296317577362

#2804:680:601:a::6c/126,budget:5000000
target:4,active:0,hitrate:0.0,duration:9.068461656570435

#2409:876a:4800::/39,budget:5000000
target:4999999,active:1,hitrate:2.00000040000008e-07,duration:1181.9384281635284

#2409:8949:c00::/40,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1154.801167011261

#2a02:e980:152::/48,budget:5000000
target:4999997,active:1958,hitrate:0.000391600234960141,duration:1069.781171798706

#2001:67c:390::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1152.6128633022308

#2001:559:c05e::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1162.6793236732483

#2001:559:768::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1155.6302816867828

#2001:1248:5a90::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1156.0579009056091

#2a02:950::/32,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1174.864758491516

#240a:a3ed::/32,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1171.0889666080475

#2806:370:5570::/44,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1173.5889236927032

#2a10:cc45:5ca::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1160.034267425537

#2408:820c:5b10::/44,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1172.5163853168488

#2806:10ae:c::/48,budget:5000000
target:4999997,active:4963,hitrate:0.0009926005955603573,duration:1155.8207836151123

#2604:d600:613::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1157.7965779304504

#2600:1419:1e00::/48,budget:5000000
target:4999997,active:1049086,hitrate:0.20981732589039553,duration:1111.9198260307312

#2a10:4dc0:441::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1159.7492051124573

#2a07:6100::/29,budget:5000000
target:4999996,active:29,hitrate:5.800004640003712e-06,duration:1215.9279034137726

#240e:a24::/32,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1170.3287868499756

#2a02:e980:1a1::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1144.0568816661835

#2402:9d80:281::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1139.03036236763

#2804:61b8:1000::/36,budget:5000000
target:4999991,active:0,hitrate:0.0,duration:1166.9464573860168

#2a02:88d:8238::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1143.5883033275604

#2800:bf0:800b::/48,budget:5000000
target:4999997,active:29,hitrate:5.800003480002088e-06,duration:1138.3428416252136

#2001:4430:c162::/47,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1156.089492559433

#2a01:7d20:7d21::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1141.1150188446045

#2a02:4e0:fe02::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1143.0310389995575

#2804:5724::/33,budget:5000000
target:4999991,active:0,hitrate:0.0,duration:1188.2849929332733

#2a02:2e02:2dd0::/44,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1172.6202585697174

#2001:559:6b::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1150.6243999004364

#2801:13e:5::/48,budget:5000000
target:4999997,active:2,hitrate:4.00000240000144e-07,duration:1136.5345973968506

#2804:157c:3000::/36,budget:5000000
target:4999991,active:0,hitrate:0.0,duration:1174.659797668457

#2001:ec0:801::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1158.3480927944183

#2600:6c3a:32::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1178.1668627262115
